t_seconds,phase,pkg_mC,ec_hex
32,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d242600000000000000000000000102011520800c882c800c000001ac01e00a7c2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
34,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d242600000000000000000000000102011520800c882c800c000001ac01e00a642f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
35,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d242600000000000000000000000102011520800c882c800c000001ac01e00a402f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
36,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d242600000000000000000000000102011520800c882c800c000001b701e00a7c2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
37,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d242600000000000000000000000102011520800c882c800c000001b701e00a342f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
39,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d242600000000000000000000000102011520800c882c800c000001b701e00a612f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
40,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001d001e00a7c2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
41,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001d001e00a5b2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
42,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001d001e00a792f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
43,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001d001e00a702f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
45,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001d001e00a552f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
46,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001d001e00a6d2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
47,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001d001e00a672f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
48,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a6d2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
50,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a5e2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
51,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a702f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
52,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a6d2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
53,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a4f2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
54,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a642f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
56,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a672f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
57,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a312f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
58,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a2e2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
59,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a702f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
61,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a642f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
62,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a5b2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
63,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a702f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
64,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a6a2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
66,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a732f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
67,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001eb01e00a6a2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
68,idle,45000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001dd01e00a3a2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
69,idle,45000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001dd01c00a282f5600000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
71,idle,45000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001d701c00a702f5600000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
72,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001d701c00a642f5600000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
73,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001e501c00a672f5600000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
74,load,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001e501c00a672f5600000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
75,load,48000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000003131252600000000000000000000000102011520800c882c800c000001e501c00ab02e5600000000000000000000000000ea01000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
77,load,50000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000003131252600000000000000000000000102011520800c882c800c000001e501c00a9e2e5600000000000000000000000000ea01000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
78,load,49000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000003232252600000000000000000000000102011520800c882c800c000001e501c00ab02e5600000000000000000000000000f401000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
79,load,49000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000003232252600000000000000000000000102011520800c882c800c000001e501c00a9e2e5600000000000000000000000000f401000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
80,load,50000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000003232252600000000000000000000000102011520800c882c800c000001e501c00a922e5600000000000000000000000000f401000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
81,load,50000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000003232252600000000000000000000000102011520800c882c800c000001b002c00aa72e5600000000000000000000000000f401000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
82,load,51000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000003333252600000000000000000000000102011520800c882c800c000001b002c00aa72e5600000000000000000000000000fe01000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
84,load,50000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000003333252700000000000000000000000102011520800c882c800c000001b002c00a8c2e5600000000000000000000000000fe01000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
85,load,51000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000003333252700000000000000000000000102011520800c882c800c0000013903c00aa42e5600000000000000000000000000fe01000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
